location,size_sqft,total_expense,electricity_bill,electricity_usage,water_bill,water_usage,waste_produced,percent_waste_recycled,hvac_expenses,lighting_expenses,ghg_emissions
"Dallas,TX",5000,145000,52000,95000,16000,98000,12500,35,42000,19000,45.5
"Dallas,TX",3000,98000,35000,58000,10500,62000,7800,32,28000,13000,28.5
"Dallas,TX",4500,128000,48000,85000,14500,88000,11500,34,38000,17000,42.0
"Dallas,TX",5500,15000,3500,6000,1800,13000,1500,75,2200,1300,12.3
"Dallas,TX",6200,18000,4000,7000,2000,15000,1800,85,2500,1400,14.0
"Dallas,TX",7000,20000,4500,7500,2200,17000,2000,90,2800,1600,15.5
"Dallas,TX",7500,22000,5000,8000,2500,19000,2200,95,3000,1700,16.8
"Dallas,TX",8000,25000,5500,8500,2800,21000,2500,100,3200,1800,18.2
"Dallas,TX",8500,27000,6000,9000,3000,23000,2700,105,3400,1900,19.5
"Dallas,TX",9000,30000,6500,9500,3200,25000,3000,110,3600,2000,20.8
"Dallas,TX",9500,32000,7000,10000,3500,27000,3200,115,3800,2100,22.1
"Dallas,TX",10000,35000,7500,10500,3800,29000,3500,120,4000,2200,23.4
"New York,NY",5000,185000,68000,82000,19000,95000,11800,45,48000,24000,33.5
"New York,NY",3000,122000,46000,52000,13000,58000,7200,42,35000,16000,21.5
"New York,NY",4500,12000,3000,5000,1500,12000,1000,70,2000,1000,10.5
"New York,NY",5500,18000,4000,7000,2000,15000,1800,85,2500,1400,14.0
"New York,NY",6200,20000,4500,7500,2200,17000,2000,90,2800,1600,15.5
"New York,NY",7000,22000,5000,8000,2500,19000,2200,95,3000,1700,16.8
"New York,NY",7500,25000,5500,8500,2800,21000,2500,100,3200,1800,18.2
"New York,NY",8000,27000,6000,9000,3000,23000,2700,105,3400,1900,19.5
"New York,NY",8500,30000,6500,9500,3200,25000,3000,110,3600,2000,20.8
"New York,NY",9000,32000,7000,10000,3500,27000,3200,115,3800,2100,22.1
"New York,NY",9500,35000,7500,10500,3800,29000,3500,120,4000,2200,23.4
"Los Angeles,CA",5000,162000,62000,78000,17000,92000,11000,48,42000,20000,30.5
"Los Angeles,CA",3000,108000,42000,48000,12000,56000,7000,45,30000,14500,19.2
"Los Angeles,CA",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"Los Angeles,CA",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"Los Angeles,CA",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"Los Angeles,CA",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"Los Angeles,CA",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"Los Angeles,CA",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"Los Angeles,CA",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"Los Angeles,CA",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"Los Angeles,CA",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"Los Angeles,CA",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Chicago,IL",5000,172000,64000,88000,18000,98000,12000,40,46000,22000,40.5
"Chicago,IL",3000,112000,42000,56000,12500,62000,7500,38,32000,15500,25.0
"Chicago,IL",4500,10500,2700,4700,1300,10500,1100,62,1750,950,8.7
"Chicago,IL",5500,15500,3500,6100,1800,12500,1500,78,2200,1250,12.0
"Chicago,IL",6200,18500,4000,7100,2000,14500,1800,82,2500,1350,13.5
"Chicago,IL",7000,20500,4500,7600,2200,16500,2000,88,2800,1550,15.0
"Chicago,IL",7500,23500,5000,8100,2500,18500,2300,94,3000,1650,16.3
"Chicago,IL",8000,25500,5500,8600,2800,20500,2600,98,3200,1750,17.7
"Chicago,IL",8500,28500,6000,9100,3000,22500,2800,104,3400,1850,19.0
"Chicago,IL",9000,30500,6500,9600,3300,24500,3100,108,3600,1950,20.3
"Chicago,IL",9500,33500,7000,10100,3600,26500,3400,114,3800,2050,21.6
"Chicago,IL",10000,36500,7500,10600,3900,28500,3700,118,4000,2150,23.0
"Houston,TX",5000,12500,3000,5200,1500,11000,1200,70,1900,1150,10.8
"Houston,TX",3000,8000,2300,4200,1100,8500,700,78,1400,800,7.5
"Houston,TX",4500,10000,2600,4500,1200,10000,1000,65,1650,900,8.4
"Houston,TX",5500,15000,3400,5900,1700,12000,1400,80,2100,1200,11.7
"Houston,TX",6200,18000,3900,6900,1900,14000,1700,85,2400,1300,13.2
"Houston,TX",7000,20000,4400,7400,2100,16000,1900,90,2700,1500,14.7
"Houston,TX",7500,23000,4900,7900,2400,18000,2200,95,2900,1600,16.0
"Houston,TX",8000,25000,5400,8400,2700,20000,2500,100,3100,1700,17.4
"Houston,TX",8500,28000,5900,8900,2900,22000,2700,105,3300,1800,18.7
"Houston,TX",9000,30000,6400,9400,3200,24000,3000,110,3500,1900,20.0
"Houston,TX",9500,33000,6900,9900,3500,26000,3300,115,3700,2000,21.3
"Houston,TX",10000,36000,7400,10400,3800,28000,3600,120,3900,2100,22.6
"San Francisco,CA",5000,16000,3700,6200,1900,14000,1600,75,2300,1400,13.0
"San Francisco,CA",3000,11000,3000,5000,1500,11500,1200,80,1800,1000,9.5
"San Francisco,CA",4500,13000,3300,5300,1600,13000,1400,70,2000,1100,10.5
"San Francisco,CA",5500,18000,4100,6700,2100,15000,1800,85,2500,1400,13.8
"San Francisco,CA",6200,21000,4600,7700,2300,17000,2100,90,2800,1500,15.3
"San Francisco,CA",7000,23000,5100,8200,2500,19000,2300,95,3100,1700,16.8
"San Francisco,CA",7500,26000,5600,8700,2800,21000,2600,100,3300,1800,18.2
"San Francisco,CA",8000,28000,6100,9200,3100,23000,2900,105,3500,1900,19.5
"San Francisco,CA",8500,31000,6600,9700,3300,25000,3100,110,3700,2000,20.8
"San Francisco,CA",9000,33000,7100,10200,3600,27000,3400,115,3900,2100,22.1
"San Francisco,CA",9500,36000,7600,10700,3900,29000,3700,120,4100,2200,23.4
"San Francisco,CA",10000,39000,8100,11200,4200,31000,4000,125,4300,2300,24.8
"Miami,FL",5000,13500,3200,5600,1700,12000,1400,72,2100,1250,11.8
"Miami,FL",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"Miami,FL",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"Miami,FL",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"Miami,FL",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"Miami,FL",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"Miami,FL",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"Miami,FL",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"Miami,FL",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"Miami,FL",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"Miami,FL",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"Miami,FL",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Seattle,WA",5000,14000,3200,5800,1700,12500,1400,72,2100,1250,11.8
"Seattle,WA",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"Seattle,WA",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"Seattle,WA",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"Seattle,WA",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"Seattle,WA",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"Seattle,WA",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"Seattle,WA",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"Seattle,WA",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"Seattle,WA",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"Seattle,WA",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"Seattle,WA",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Boston,MA",5000,15000,3500,6000,1800,13000,1500,75,2200,1300,12.3
"Boston,MA",3000,10000,2800,4800,1300,11000,1200,65,1800,1100,9.1
"Boston,MA",4500,12000,3000,5000,1500,12000,1000,70,2000,1000,10.5
"Boston,MA",5500,18000,4000,7000,2000,15000,1800,85,2500,1400,14.0
"Boston,MA",6200,20000,4500,7500,2200,17000,2000,90,2800,1600,15.5
"Boston,MA",7000,22000,5000,8000,2500,19000,2200,95,3000,1700,16.8
"Boston,MA",7500,25000,5500,8500,2800,21000,2500,100,3200,1800,18.2
"Boston,MA",8000,27000,6000,9000,3000,23000,2700,105,3400,1900,19.5
"Boston,MA",8500,30000,6500,9500,3200,25000,3000,110,3600,2000,20.8
"Boston,MA",9000,32000,7000,10000,3500,27000,3200,115,3800,2100,22.1
"Boston,MA",9500,35000,7500,10500,3800,29000,3500,120,4000,2200,23.4
"San Diego,CA",5000,14000,3300,5800,1700,12500,1400,72,2100,1250,11.8
"San Diego,CA",3000,9000,2600,4600,1250,10000,900,78,1600,950,8.5
"San Diego,CA",4500,11000,2900,4900,1350,11500,1100,68,1850,1050,9.4
"San Diego,CA",5500,16000,3700,6300,1900,13500,1600,80,2300,1350,13.0
"San Diego,CA",6200,19000,4200,7300,2100,15500,1900,88,2600,1450,14.5
"San Diego,CA",7000,21000,4700,7800,2300,17500,2100,92,2900,1650,16.0
"San Diego,CA",7500,24000,5200,8300,2600,19500,2400,98,3100,1750,17.3
"San Diego,CA",8000,26000,5700,8800,2900,21500,2700,102,3300,1850,18.7
"San Diego,CA",8500,29000,6200,9300,3100,23500,2900,108,3500,1950,20.0
"San Diego,CA",9000,31000,6700,9800,3400,25500,3200,112,3700,2050,21.3
"San Diego,CA",9500,34000,7200,10300,3700,27500,3500,118,3900,2150,22.6
"San Diego,CA",10000,37000,7700,10800,4000,29500,3800,122,4100,2250,24.0
"Denver,CO",5000,13000,3100,5400,1600,11500,1300,68,2000,1200,11.0
"Denver,CO",3000,8500,2400,4400,1200,9000,800,75,1500,850,7.8
"Denver,CO",4500,10500,2700,4700,1300,10500,1100,62,1750,950,8.7
"Denver,CO",5500,15500,3500,6100,1800,12500,1500,78,2200,1250,12.0
"Denver,CO",6200,18500,4000,7100,2000,14500,1800,82,2500,1350,13.5
"Denver,CO",7000,20500,4500,7600,2200,16500,2000,88,2800,1550,15.0
"Denver,CO",7500,23500,5000,8100,2500,18500,2300,94,3000,1650,16.3
"Denver,CO",8000,25500,5500,8600,2800,20500,2600,98,3200,1750,17.7
"Denver,CO",8500,28500,6000,9100,3000,22500,2800,104,3400,1850,19.0
"Denver,CO",9000,30500,6500,9600,3300,24500,3100,108,3600,1950,20.3
"Denver,CO",9500,33500,7000,10100,3600,26500,3400,114,3800,2050,21.6
"Denver,CO",10000,36500,7500,10600,3900,28500,3700,118,4000,2150,23.0